metai,menuo,fatalities
1899,12,0
2010,4,0
2010,5,0
2010,9,0
2010,10,0
2010,11,0
2010,12,0
2011,1,0
2011,2,0
2011,3,0
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0
2011,9,0
2011,10,0
2011,11,0
2011,12,0
2012,1,0
2012,3,0
2012,4,0
2012,5,0
2012,6,0
2012,7,0
2012,8,0
2012,9,0
2012,10,0
2012,11,0
2012,12,1
2013,1,29
2013,2,14
2013,3,12
2013,4,14
2013,5,15
2013,6,27
2013,7,24
2013,8,19
2013,9,21
2013,10,24
2013,11,38
2013,12,19
2014,1,28
2014,2,15
2014,3,14
2014,4,16
2014,5,16
2014,6,30
2014,7,27
2014,8,16
2014,9,21
2014,10,24
2014,11,24
2014,12,36
2015,1,21
2015,2,22
2015,3,12
2015,4,15
2015,5,12
2015,6,20
2015,7,13
2015,8,22
2015,9,16
2015,10,29
2015,11,31
2015,12,29
2016,1,10
2016,2,15
2016,3,19
2016,4,8
2016,5,16
2016,6,17
2016,7,16
2016,8,15
2016,9,11
2016,10,26
2016,11,15
2016,12,24
2017,1,10
2017,2,18
2017,3,12
2017,4,10
2017,5,16
2017,6,13
2017,7,26
2017,8,20
2017,9,12
2017,10,15
2017,11,27
2017,12,12
2018,1,25
2018,2,10
2018,3,11
2018,4,12
2018,5,18
2018,6,10
2018,7,15
2018,8,16
2018,9,15
2018,10,13
2018,11,12
2018,12,16
2019,1,22
2019,2,10
2019,3,12
2019,4,7
2019,5,5
2019,6,19
2019,7,24
2019,8,22
2019,9,18
2019,10,19
2019,11,10
2019,12,18
2020,1,19
2020,2,9
2020,3,13
2020,4,2
2020,5,18
2020,6,10
2020,7,12
2020,8,14
2020,9,26
2020,10,13
2020,11,20
2020,12,20
2021,1,16
2021,2,8
2021,3,8
2021,4,7
2021,5,13
2021,6,9
2021,7,13
2021,8,19
2021,9,10
2021,10,18
2021,11,18
2021,12,8
2022,1,7
2022,2,12
2022,3,4
2022,4,14
2022,5,4
2022,6,10
2022,7,10
2022,8,12
2022,9,12
2022,10,19
2022,11,12
2022,12,6
2023,1,15
2023,2,9
2023,3,7
2023,4,17
2023,5,8
2023,6,14
2023,7,8
2023,8,20
2023,9,15
2023,10,15
2023,11,15
2023,12,15
