savivaldybe,ivykiai
Vilniaus m. sav.,44445
Kauno m. sav.,24296
Vilniaus miesto sav.,15018
Klaipėdos m. sav.,8176
Kauno miesto sav.,7676
Panevėžio m. sav.,7345
Šiaulių m. sav.,5550
Vilniaus r. sav.,5549
Kauno r. sav.,4975
Klaipėdos miesto sav.,4809
Panevėžio r. sav.,3637
Klaipėdos r. sav.,3465
Jonavos r. sav.,2982
Kėdainių r. sav.,2878
Mažeikių r. sav.,2712
Panevėžio miesto sav.,2539
Rokiškio r. sav.,2512
Utenos r. sav.,2467
Trakų r. sav.,2407
Šiaulių miesto sav.,2372
Telšių r. sav.,2348
Raseinių r. sav.,2328
Marijampolės sav.,2283
Šiaulių r. sav.,2273
Vilniaus rajono sav.,2190
Alytaus m. sav.,2187
Kaišiadorių r. sav.,2144
Elektrėnų sav.,2076
Kauno rajono sav.,1996
Klaipėdos rajono sav.,1979
Radviliškio r. sav.,1927
Alytaus r. sav.,1834
Varėnos r. sav.,1799
Prienų r. sav.,1767
Anykščių r. sav.,1765
Ukmergės r. sav.,1723
Pasvalio r. sav.,1723
Plungės r. sav.,1694
Biržų r. sav.,1688
Šilutės r. sav.,1656
Tauragės r. sav.,1641
Kelmės r. sav.,1625
Panevėžio rajono sav.,1563
Kupiškio r. sav.,1499
Kretingos r. sav.,1483
Molėtų r. sav.,1403
Šalčininkų r. sav.,1345
Šilalės r. sav.,1253
Utenos rajono sav.,1236
Švenčionių r. sav.,1230
Druskininkų sav.,1227
Vilkaviškio r. sav.,1185
Šakių r. sav.,1133
Mažeikių rajono sav.,1117
Šiaulių rajono sav.,1085
Palangos m. sav.,1075
Lazdijų r. sav.,1055
Telšių rajono sav.,1025
Kėdainių rajono sav.,1019
Radviliškio rajono sav.,995
Ignalinos r. sav.,975
Raseinių rajono sav.,969
Anykščių rajono sav.,927
Rietavo sav.,917
Rokiškio rajono sav.,915
Šilutės rajono sav.,915
Trakų rajono sav.,900
Pakruojo r. sav.,875
Jonavos rajono sav.,841
Tauragės rajono sav.,838
Jurbarko r. sav.,835
Prienų rajono sav.,832
Kretingos rajono sav.,829
Akmenės r. sav.,801
Alytaus miesto sav.,779
Alytaus rajono sav.,751
Molėtų rajono sav.,740
Plungės rajono sav.,734
Joniškio r. sav.,734
Širvintų r. sav.,712
Šilalės rajono sav.,699
Ukmergės rajono sav.,689
Visagino sav.,669
Palangos miesto sav.,664
Biržų rajono sav.,663
Zarasų r. sav.,661
Neringos sav.,652
Varėnos rajono sav.,645
Kelmės rajono sav.,638
Kupiškio rajono sav.,620
Skuodo r. sav.,618
Ignalinos rajono sav.,617
Pasvalio rajono sav.,613
Kaišiadorių rajono sav.,608
Lazdijų rajono sav.,572
Širvintų rajono sav.,550
Šalčininkų rajono sav.,534
Zarasų rajono sav.,510
Vilkaviškio rajono sav.,480
Šakių rajono sav.,461
Akmenės rajono sav.,445
Kazlų Rūdos sav.,445
Pagėgių sav.,438
Švenčionių rajono sav.,426
Pakruojo rajono sav.,409
Birštono sav.,404
Kalvarijos sav.,354
Joniškio rajono sav.,350
Jurbarko rajono sav.,331
VILNIAUS M.,329
Skuodo rajono sav.,318
VILNIAUS RAJ.,46
Alytaus m.,8
Kauno m. ,6
Kauno m.,2
Jonavos r.,2
Šiaulių m.,1
58Šiaulių m.,1
Marijampolės raj.,1
Birštonas,1
Punios sen.,1
Unknown,1
Kėdainių sav.,1
Vilkaviškio r.,1
TRAKŲ R. SAV.,1
Lazdijų r.,1
